DATA REPORT,,,,,
************************************************************************************************,,,,,
,,,,,
File Information,,,,,
************************************************************************************************,,,,,
Time Format:All times shown are based on 24-Hour clock [YYYY/MM/DD HH:MM:SS],,,,,
File Created Date: 2026/02/24 10:46:55,,,,,
,,,,,
Device Information,,,,,
************************************************************************************************,,,,,
Serial Number: 24121054,,,,,
Firmware Version: 2.0.3,,,,,
,,,,,
Logging Summary,,,,,
************************************************************************************************,,,,,
Sample Points: 14404,,,,,
Sample Interval: 00h 00m 05s,,,,,
Start Time: 2026/02/23 14:46:34,,,,,
Stop Time: 2026/02/24 10:46:49,,,,,
Elapsed Time: 00d 20h 00m 15s,,,,,
Start Mode: Press button,,,,,
Stop Mode: Press button,,,,,
,,,,,
Logging Channel,,,,,
************************************************************************************************,,,,,
Channel,Name,Unit,Maximum,Minimum,Average
CH1,Temp,Celsius,41.76,25.27,30.15
,,,,,
Data Table,,,,,
************************************************************************************************,,,,,
Date,Time,CH1,,,
2026/02/23,14:46:34,33.03,,,
2026/02/23,14:46:39,33.14,,,
2026/02/23,14:46:44,33.26,,,
2026/02/23,14:46:49,33.29,,,
2026/02/23,14:46:54,33.38,,,
2026/02/23,14:46:59,33.44,,,
2026/02/23,14:47:04,33.50,,,
2026/02/23,14:47:09,33.52,,,
2026/02/23,14:47:14,33.54,,,
2026/02/23,14:47:19,33.57,,,
2026/02/23,14:47:24,33.59,,,
2026/02/23,14:47:29,33.62,,,
2026/02/23,14:47:34,33.65,,,
2026/02/23,14:47:39,33.67,,,
2026/02/23,14:47:44,33.70,,,
2026/02/23,14:47:49,33.70,,,
2026/02/23,14:47:54,33.70,,,
2026/02/23,14:47:59,33.71,,,
2026/02/23,14:48:04,33.71,,,
2026/02/23,14:48:09,33.71,,,
2026/02/23,14:48:14,33.71,,,
2026/02/23,14:48:19,33.71,,,
2026/02/23,14:48:24,33.71,,,
2026/02/23,14:48:29,33.70,,,
2026/02/23,14:48:34,33.69,,,
2026/02/23,14:48:39,33.70,,,
2026/02/23,14:48:44,33.69,,,
2026/02/23,14:48:49,33.69,,,
2026/02/23,14:48:54,33.68,,,
2026/02/23,14:48:59,33.66,,,
2026/02/23,14:49:04,33.65,,,
2026/02/23,14:49:09,33.63,,,
2026/02/23,14:49:14,33.61,,,
2026/02/23,14:49:19,33.59,,,
2026/02/23,14:49:24,33.57,,,
2026/02/23,14:49:29,33.56,,,
2026/02/23,14:49:34,33.54,,,
2026/02/23,14:49:39,33.53,,,
2026/02/23,14:49:44,33.51,,,
2026/02/23,14:49:49,33.52,,,
2026/02/23,14:49:54,33.51,,,
2026/02/23,14:49:59,33.50,,,
2026/02/23,14:50:04,33.50,,,
2026/02/23,14:50:09,33.49,,,
2026/02/23,14:50:14,33.48,,,
2026/02/23,14:50:19,33.48,,,
2026/02/23,14:50:24,33.46,,,
2026/02/23,14:50:29,33.44,,,
2026/02/23,14:50:34,33.42,,,
2026/02/23,14:50:39,33.41,,,
2026/02/23,14:50:44,33.40,,,
2026/02/23,14:50:49,33.38,,,
2026/02/23,14:50:54,33.37,,,
2026/02/23,14:50:59,33.37,,,
2026/02/23,14:51:04,33.35,,,
2026/02/23,14:51:09,33.33,,,
